iter	Passed	Remaining
859	5789	14407
860	5797	14402
861	5804	14397
862	5812	14392
863	5818	14384
864	5825	14378
865	5831	14369
866	5839	14367
867	5846	14359
868	5852	14352
869	5859	14345
870	5866	14339
871	5872	14331
872	5879	14325
873	5886	14318
874	5895	14316
875	5901	14309
876	5909	14306
877	5916	14299
878	5922	14291
879	5929	14284
880	5939	14285
881	5946	14279
882	5953	14272
883	5959	14265
884	5966	14259
885	5973	14251
886	5979	14244
887	5987	14239
888	5993	14232
889	6000	14226
890	6007	14218
891	6013	14211
892	6020	14205
893	6027	14199
894	6035	14194
895	6040	14184
896	6046	14176
897	6054	14171
898	6060	14164
899	6067	14157
900	6075	14153
901	6082	14148
902	6090	14144
903	6097	14138
904	6104	14131
905	6111	14124
906	6117	14117
907	6124	14110
908	6131	14103
909	6137	14095
910	6143	14088
911	6150	14082
912	6157	14075
913	6164	14068
914	6171	14063
915	6178	14057
916	6185	14051
917	6192	14043
918	6198	14036
919	6205	14030
920	6213	14024
921	6219	14018
922	6226	14011
923	6233	14005
924	6240	14000
925	6247	13993
926	6255	13988
927	6261	13979
928	6268	13973
929	6274	13965
930	6280	13956
931	6285	13947
932	6292	13940
933	6298	13932
934	6304	13924
935	6311	13917
936	6319	13914
937	6326	13907
938	6333	13901
939	6340	13895
940	6346	13887
941	6353	13880
942	6359	13873
943	6365	13864
944	6372	13857
945	6378	13848
946	6385	13842
947	6391	13834
948	6397	13825
949	6403	13818
950	6409	13809
951	6417	13804
952	6422	13795
953	6429	13788
954	6435	13781
955	6441	13773
956	6448	13766
957	6455	13760
958	6463	13756
959	6470	13750
960	6476	13741
961	6483	13735
962	6489	13726
963	6494	13717
964	6503	13714
965	6510	13707
966	6516	13699
967	6522	13691
968	6528	13684
969	6535	13678
970	6543	13672
971	6550	13666
972	6556	13659
973	6562	13650
974	6569	13644
975	6576	13637
976	6583	13631
977	6589	13624
978	6596	13618
979	6604	13613
980	6611	13607
981	6618	13600
982	6625	13594
983	6632	13588
984	6638	13580
985	6645	13574
986	6651	13566
987	6658	13559
988	6665	13553
989	6672	13546
990	6678	13539
991	6684	13531
992	6692	13525
993	6699	13520
994	6706	13513
995	6713	13508
996	6720	13502
997	6727	13494
998	6733	13486
999	6738	13477
1000	6745	13471
1001	6752	13464
1002	6759	13458
1003	6765	13450
1004	6772	13444
1005	6779	13437
1006	6786	13431
1007	6794	13426
1008	6800	13418
1009	6805	13409
1010	6812	13402
1011	6820	13397
1012	6826	13389
1013	6832	13382
1014	6838	13373
1015	6845	13368
1016	6852	13360
1017	6858	13353
1018	6865	13346
1019	6871	13338
1020	6876	13329
1021	6883	13322
1022	6889	13314
1023	6895	13305
1024	6901	13297
1025	6907	13289
1026	6912	13280
1027	6918	13272
1028	6926	13266
1029	6932	13259
1030	6939	13252
1031	6946	13246
1032	6952	13239
1033	6960	13234
1034	6967	13228
1035	6974	13221
1036	6980	13213
1037	6986	13205
1038	6993	13198
1039	6999	13192
1040	7006	13184
1041	7013	13179
1042	7020	13173
1043	7029	13169
1044	7035	13161
1045	7043	13157
1046	7049	13149
1047	7056	13143
1048	7063	13136
1049	7069	13128
1050	7076	13122
1051	7111	13169
1052	7204	13321
1053	7253	13392
1054	7273	13409
1055	7287	13416
1056	7304	13427
1057	7325	13446
1058	7343	13459
1059	7405	13553
1060	7426	13571
1061	7437	13572
1062	7446	13569
1063	7454	13563
1064	7463	13560
1065	7470	13552
1066	7477	13546
1067	7484	13540
1068	7492	13534
1069	7499	13527
1070	7507	13521
1071	7514	13515
1072	7521	13508
1073	7529	13501
1074	7537	13497
1075	7545	13491
1076	7552	13485
1077	7559	13478
1078	7566	13471
1079	7574	13465
1080	7580	13456
1081	7587	13450
1082	7594	13443
1083	7604	13441
1084	7612	13435
1085	7620	13429
1086	7628	13424
1087	7635	13417
1088	7643	13412
1089	7650	13405
1090	7657	13398
1091	7663	13390
1092	7670	13383
1093	7677	13376
1094	7685	13369
1095	7693	13364
1096	7700	13358
1097	7707	13352
1098	7716	13346
1099	7723	13339
1100	7730	13333
1101	7737	13327
1102	7746	13323
1103	7755	13318
1104	7763	13313
1105	7771	13307
1106	7778	13301
1107	7786	13295
1108	7793	13289
1109	7800	13281
1110	7807	13274
1111	7815	13270
1112	7822	13261
1113	7827	13251
1114	7833	13243
1115	7840	13236
1116	7846	13227
1117	7852	13218
1118	7858	13210
1119	7864	13201
1120	7870	13192
1121	7877	13185
1122	7883	13176
1123	7889	13168
1124	7896	13161
1125	7903	13153
1126	7909	13144
1127	7915	13136
1128	7922	13129
1129	7928	13121
1130	7935	13113
1131	7941	13104
1132	7948	13098
1133	7955	13090
1134	7962	13083
1135	7968	13075
1136	7975	13068
1137	7982	13060
1138	7988	13052
1139	7995	13045
1140	8001	13037
1141	8010	13033
1142	8018	13027
1143	8025	13019
1144	8031	13011
1145	8038	13005
1146	8044	12996
1147	8051	12988
1148	8057	12981
1149	8065	12975
1150	8074	12970
1151	8082	12965
1152	8087	12955
1153	8095	12949
1154	8101	12941
1155	8108	12933
1156	8113	12924
1157	8119	12916
1158	8126	12907
1159	8132	12899
1160	8137	12890
1161	8143	12881
1162	8149	12872
1163	8155	12864
1164	8162	12856
1165	8170	12850
1166	8180	12848
1167	8188	12843
1168	8197	12839
1169	8207	12837
1170	8215	12831
1171	8222	12824
1172	8228	12816
1173	8236	12810
1174	8243	12804
1175	8250	12797
1176	8257	12789
1177	8264	12782
1178	8270	12774
1179	8277	12766
1180	8283	12759
1181	8290	12751
1182	8296	12743
1183	8303	12735
1184	8308	12726
1185	8315	12718
1186	8322	12711
1187	8328	12702
1188	8334	12694
1189	8341	12686
1190	8347	12678
1191	8354	12672
1192	8360	12663
1193	8366	12655
1194	8374	12649
1195	8383	12644
1196	8390	12638
1197	8398	12632
1198	8405	12625
1199	8410	12616
1200	8416	12607
1201	8422	12599
1202	8429	12591
1203	8435	12582
1204	8441	12574
1205	8448	12567
1206	8455	12560
1207	8461	12551
1208	8468	12545
1209	8474	12536
1210	8481	12529
1211	8487	12520
1212	8495	12515
1213	8506	12514
1214	8514	12508
1215	8520	12500
1216	8527	12492
1217	8532	12483
1218	8538	12475
1219	8544	12466
1220	8552	12461
1221	8558	12452
1222	8567	12447
1223	8574	12441
1224	8580	12433
1225	8587	12425
1226	8595	12420
1227	8603	12415
1228	8609	12405
1229	8615	12397
1230	8621	12389
1231	8628	12383
1232	8635	12375
1233	8642	12367
1234	8648	12359
1235	8654	12351
1236	8660	12342
1237	8666	12334
1238	8672	12326
1239	8678	12318
1240	8684	12310
1241	8690	12301
1242	8696	12292
1243	8702	12284
1244	8708	12275
1245	8714	12267
1246	8721	12259
1247	8727	12251
1248	8733	12243
1249	8740	12236
1250	8747	12229
1251	8753	12221
1252	8760	12213
1253	8766	12206
1254	8773	12198
1255	8779	12190
1256	8787	12184
1257	8793	12176
1258	8799	12168
1259	8806	12161
1260	8814	12155
1261	8820	12147
1262	8827	12140
1263	8834	12133
1264	8840	12125
1265	8847	12118
1266	8853	12109
1267	8861	12104
1268	8866	12094
1269	8873	12087
1270	8879	12079
1271	8885	12071
1272	8893	12065
1273	8901	12059
1274	8908	12052
1275	8915	12045
1276	8922	12038
1277	8927	12029
1278	8934	12021
1279	8940	12014
1280	8947	12006
1281	8953	11998
1282	8960	11991
1283	8966	11983
